Pathways	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	-2.63303644	0.009527364	0.02847045	-0.576505574	0.56512323	0.679816137	1.80361921	0.075253942	0.138603306	-1.291452288	0.20197798	0.387322479	2.637457283	0.009689762	0.07778432	2.46359927	0.019316439	0.127724751	-3.011187279	0.003740097	0.023665488	-3.063872719	0.003220137	0.061750854	0.617090903	0.540428779	0.729434657
PWY-5484: glycolysis II (from fructose 6-phosphate)	-4.229927401	4.02E-05	0.000233879	-1.846977658	0.066769257	0.152215228	2.264627386	0.026386008	0.063012094	-2.746854985	0.007783992	0.03064606	-0.896374993	0.373951287	0.518757955	1.620011448	0.115044437	0.236146481	-4.223738962	6.89E-05	0.000936019	-2.758371052	0.007463485	0.078486975	1.65313396	0.105587464	0.254179343
PWY-5505: L-glutamate and L-glutamine biosynthesis	-2.712950732	0.007547822	0.02343419	1.47169012	0.143036787	0.258156267	4.209126104	6.96E-05	0.004535477	-1.921412084	0.060376883	0.153772375	0.039479542	0.968674328	0.982983778	2.611262044	0.013617662	0.125575516	-1.737920113	0.086018386	0.195700316	2.088837456	0.043280818	0.190669551	3.273501758	0.002100839	0.16183101
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.946871289	0.345063571	0.474008058	2.697270978	0.007936343	0.043120795	2.326423109	0.022663256	0.058087895	1.603071554	0.112255599	0.253384147	2.826424112	0.006079942	0.067816988	2.356976412	0.024708378	0.138878126	-0.180079811	0.857688284	0.901956066	1.125475825	0.266666391	0.568191135	1.539325704	0.131052053	0.277421877
PWY-5659: GDP-mannose biosynthesis	3.033432597	0.002758013	0.009365752	1.553745611	0.122131004	0.234867559	-1.081979823	0.282682637	0.374611949	0.323781195	0.747086134	0.864485774	-1.01594836	0.312837227	0.453266382	-0.751168141	0.458040393	0.569928123	3.398866054	0.001471597	0.011993518	2.543395384	0.013843829	0.117496078	-0.778032587	0.440809962	0.630280911
PWY-5667: CDP-diacylglycerol biosynthesis I	2.181445992	0.030536613	0.069614936	0.113753544	0.909587416	0.947365807	-1.525003471	0.131409049	0.210114325	1.886902733	0.063248465	0.156204541	0.559158755	0.577620633	0.705259649	-0.94814547	0.350161206	0.460398078	1.722393886	0.088845542	0.195700316	0.212867117	0.832032311	0.907363199	-1.215300017	0.230882473	0.418330269
PWY-5676: acetyl-CoA fermentation to butanoate II	-2.622118747	0.009451061	0.02847045	0.694553742	0.488266698	0.614575072	4.214233413	6.83E-05	0.004535477	-2.041684094	0.044451461	0.123856208	0.732367363	0.466090222	0.606742388	2.834979963	0.007877071	0.125575516	-1.695851078	0.096160365	0.201784145	0.00781351	0.993802637	0.996506787	3.169080339	0.002815436	0.16183101
PWY-5686: UMP biosynthesis	5.226589564	4.57E-07	4.66E-06	1.30999771	0.192130658	0.311614899	-3.646562861	0.000484365	0.011157253	4.425616248	2.56E-05	0.000320954	0.73893697	0.462380383	0.605365481	-2.757167058	0.009551209	0.125575516	3.760247123	0.000331528	0.003275097	1.38572287	0.170109009	0.46400674	-2.48429681	0.016953407	0.16183101
PWY-5690: TCA cycle II (plants and fungi)	-0.089449814	0.928840848	0.937467853	2.137269102	0.034399548	0.101029303	2.19345183	0.031332611	0.07093355	-0.164822265	0.869660808	0.926501383	1.073439408	0.288641924	0.429667887	1.629611556	0.112989666	0.23611943	0.040945831	0.967442648	0.979460569	1.691171374	0.095302601	0.334071483	1.48192986	0.145650804	0.298629949
PWY-5692: allantoin degradation to glyoxylate II	1.662606166	0.098057371	0.178584933	3.889196231	0.000166421	0.003191369	2.15896069	0.034009034	0.074407572	1.295538376	0.19864863	0.383192032	3.126813208	0.002391709	0.049796359	1.202497996	0.237993259	0.349485597	0.506928038	0.61374922	0.687567854	2.239927591	0.031359809	0.175069227	1.869512346	0.068371005	0.227438241
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	-0.966671134	0.334943884	0.469510393	-1.445473258	0.150648591	0.269843081	-0.768834086	0.444374507	0.532595917	-0.40930471	0.683312138	0.831810544	-0.888966367	0.377738441	0.521791237	-0.691979619	0.493940877	0.604689816	-0.607497862	0.545860183	0.633275515	-0.943246163	0.348710253	0.630094448	-0.437611229	0.663858392	0.812253876
PWY-5705: allantoin degradation to glyoxylate III	-0.518744758	0.604786528	0.691790906	2.530663825	0.012902722	0.05684172	2.913176743	0.004695748	0.022847969	0.544552224	0.587223382	0.787797624	2.183660611	0.032326181	0.121391553	1.810944849	0.079546842	0.194979476	-0.893144572	0.375059561	0.500579725	1.547779974	0.131740805	0.394013783	2.365932835	0.022562042	0.173053545
PWY-5723: Rubisco shunt	-0.762226282	0.446902988	0.551857478	2.034026604	0.043923442	0.116185521	2.657863543	0.009582072	0.032564961	-0.523861935	0.602043115	0.791395385	2.388554605	0.019550485	0.109887211	2.207873814	0.03453978	0.141559129	-0.671603902	0.504148499	0.606466461	0.713565156	0.479682451	0.693602693	1.503404077	0.140044521	0.290793082
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)"	-2.311284613	0.022404299	0.054915799	0.060372992	0.951928093	0.969427457	2.602371696	0.011125444	0.036635301	-0.877830881	0.383647216	0.622233793	1.665171872	0.099162877	0.207224986	1.959007754	0.058873943	0.171163922	-2.443214929	0.016987163	0.063653049	-1.455723951	0.150221942	0.425846549	1.760501455	0.085434197	0.2396497
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I"	-2.311284613	0.022404299	0.054915799	0.060372992	0.951928093	0.969427457	2.602371696	0.011125444	0.036635301	-0.877830881	0.383647216	0.622233793	1.665171872	0.099162877	0.207224986	1.959007754	0.058873943	0.171163922	-2.443214929	0.016987163	0.063653049	-1.455723951	0.150221942	0.425846549	1.760501455	0.085434197	0.2396497
PWY-5838: superpathway of menaquinol-8 biosynthesis I	-1.512922753	0.132411086	0.232075344	2.542709205	0.012022856	0.054436821	3.392272734	0.001103148	0.016346647	-0.664499469	0.50853799	0.742999586	2.80979917	0.006069623	0.067816988	2.815977304	0.008258458	0.125575516	-1.654397729	0.102021797	0.21050067	0.737079955	0.464727129	0.688213515	2.199875218	0.03323885	0.173657568
PWY-5840: superpathway of menaquinol-7 biosynthesis	-1.117123888	0.26556284	0.39531272	1.091042697	0.27677292	0.408271367	1.91857404	0.058793801	0.114771132	-0.322305264	0.748076742	0.864485774	2.239499248	0.027352604	0.117740913	2.071224265	0.046482272	0.156823853	-1.691228152	0.09475964	0.200595081	-0.912330315	0.364804644	0.630491892	0.848212317	0.401016835	0.594830171
PWY-5845: superpathway of menaquinol-9 biosynthesis	-1.335992821	0.183501566	0.296146092	2.222114646	0.027758358	0.092592387	3.184023858	0.002106001	0.018067273	-0.422185009	0.674074165	0.829238407	2.588664863	0.011209606	0.083052992	2.531052443	0.016485409	0.125575516	-1.573771212	0.11953471	0.231954258	0.587945785	0.559189446	0.747113768	2.106685891	0.041017278	0.173657568
PWY-5850: superpathway of menaquinol-6 biosynthesis I	-1.335992821	0.183501566	0.296146092	2.222114646	0.027758358	0.092592387	3.184023858	0.002106001	0.018067273	-0.422185009	0.674074165	0.829238407	2.588664863	0.011209606	0.083052992	2.531052443	0.016485409	0.125575516	-1.573771212	0.11953471	0.231954258	0.587945785	0.559189446	0.747113768	2.106685891	0.041017278	0.173657568
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	-0.771423101	0.441637571	0.549518505	1.782483164	0.077176266	0.16552278	2.777520174	0.006895806	0.027415035	-0.193080482	0.847274758	0.914607851	1.912772303	0.059796952	0.153571886	2.62625088	0.013135823	0.125575516	-1.006719693	0.317638763	0.450218421	0.664951787	0.509270167	0.706476913	1.353540759	0.182955527	0.355007742
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	-0.771423101	0.441637571	0.549518505	1.782483164	0.077176266	0.16552278	2.777520174	0.006895806	0.027415035	-0.193080482	0.847274758	0.914607851	1.912772303	0.059796952	0.153571886	2.62625088	0.013135823	0.125575516	-1.006719693	0.317638763	0.450218421	0.664951787	0.509270167	0.706476913	1.353540759	0.182955527	0.355007742
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	-0.771423101	0.441637571	0.549518505	1.782483164	0.077176266	0.16552278	2.777520174	0.006895806	0.027415035	-0.193080482	0.847274758	0.914607851	1.912772303	0.059796952	0.153571886	2.62625088	0.013135823	0.125575516	-1.006719693	0.317638763	0.450218421	0.664951787	0.509270167	0.706476913	1.353540759	0.182955527	0.355007742
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	-1.204542559	0.2301764	0.35732146	2.038391865	0.043292637	0.116185521	2.99525048	0.00370054	0.02116449	-0.367511626	0.714290494	0.849849273	2.519478694	0.013607165	0.086979136	2.25426308	0.031158609	0.141559129	-1.335716987	0.185342729	0.317148353	0.539235833	0.592389546	0.763633261	2.00399961	0.051395391	0.193950893
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	-1.358375182	0.176306411	0.288823568	2.310629788	0.022283493	0.086481174	3.266603695	0.001634641	0.018067273	-0.595114505	0.55370355	0.771398962	2.714044752	0.008046332	0.074139574	2.562586994	0.015297359	0.125575516	-1.346668311	0.181801734	0.316937783	0.687416339	0.495753254	0.706476913	2.134925046	0.038506561	0.173657568
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	-1.204542559	0.2301764	0.35732146	2.038391865	0.043292637	0.116185521	2.99525048	0.00370054	0.02116449	-0.367511626	0.714290494	0.849849273	2.519478694	0.013607165	0.086979136	2.25426308	0.031158609	0.141559129	-1.335716987	0.185342729	0.317148353	0.539235833	0.592389546	0.763633261	2.00399961	0.051395391	0.193950893
PWY-5863: superpathway of phylloquinol biosynthesis	-1.412120504	0.160156123	0.267748185	0.482449671	0.630094344	0.733758276	1.753718441	0.083510332	0.149164404	-0.309087351	0.758264614	0.864485774	1.468524875	0.145254706	0.270588766	1.407611959	0.168886381	0.287298064	-1.823741876	0.072362685	0.176046533	-1.061288301	0.292376871	0.588363334	1.076883776	0.287536959	0.478250249
PWY-5896: superpathway of menaquinol-10 biosynthesis	-1.335992821	0.183501566	0.296146092	2.222114646	0.027758358	0.092592387	3.184023858	0.002106001	0.018067273	-0.422185009	0.674074165	0.829238407	2.588664863	0.011209606	0.083052992	2.531052443	0.016485409	0.125575516	-1.573771212	0.11953471	0.231954258	0.587945785	0.559189446	0.747113768	2.106685891	0.041017278	0.173657568
PWY-5897: superpathway of menaquinol-11 biosynthesis	-2.291995334	0.023365549	0.056008594	0.157040253	0.875397614	0.927242783	2.509165079	0.014230717	0.042174671	-0.798467214	0.427454363	0.666746997	1.42962441	0.156541896	0.277351403	2.064609503	0.047143367	0.156823853	-2.673974704	0.009206579	0.040030736	-1.539719961	0.128151863	0.39320744	1.717987873	0.092993027	0.242525814
PWY-5898: superpathway of menaquinol-12 biosynthesis	-2.291995334	0.023365549	0.056008594	0.157040253	0.875397614	0.927242783	2.509165079	0.014230717	0.042174671	-0.798467214	0.427454363	0.666746997	1.42962441	0.156541896	0.277351403	2.064609503	0.047143367	0.156823853	-2.673974704	0.009206579	0.040030736	-1.539719961	0.128151863	0.39320744	1.717987873	0.092993027	0.242525814
PWY-5899: superpathway of menaquinol-13 biosynthesis	-2.291995334	0.023365549	0.056008594	0.157040253	0.875397614	0.927242783	2.509165079	0.014230717	0.042174671	-0.798467214	0.427454363	0.666746997	1.42962441	0.156541896	0.277351403	2.064609503	0.047143367	0.156823853	-2.673974704	0.009206579	0.040030736	-1.539719961	0.128151863	0.39320744	1.717987873	0.092993027	0.242525814
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	-1.006606645	0.315847659	0.454952351	0.544251796	0.586983465	0.700939962	0.928565791	0.35605398	0.45164824	-0.961694937	0.340359319	0.583984937	0.251785437	0.80178676	0.886042318	0.19744868	0.844725306	0.877007801	-1.000924626	0.320334938	0.452074415	-0.222211704	0.824871622	0.907363199	0.931527581	0.356781615	0.549169956
PWY-5913: TCA cycle VI (obligate autotrophs)	0.711885815	0.477536001	0.574452901	0.596425975	0.551676401	0.667115579	-0.489337683	0.626012008	0.69414937	0.488167925	0.626452717	0.813639783	0.87252102	0.385432062	0.528844273	0.560523272	0.579026266	0.671018698	-0.06372999	0.94936006	0.967160561	-0.714323402	0.477419146	0.693602693	-1.635263439	0.109294298	0.254499581
PWY-5918: superpathay of heme biosynthesis from glutamate	-0.53807745	0.591172384	0.678599286	0.011913986	0.990509493	0.990509493	0.888739723	0.376947305	0.476297758	-0.345250262	0.730820866	0.856328678	0.846577906	0.400340221	0.543795467	1.597936872	0.119886084	0.238310142	-1.413548706	0.16128684	0.297059378	-1.532677334	0.12984792	0.39320744	0.040086819	0.968209459	0.980236906
PWY-5920: superpathway of heme biosynthesis from glycine	-1.257839201	0.210425172	0.331394233	1.172044203	0.242830241	0.368198411	2.278773715	0.025489208	0.06295062	-0.781106233	0.438148765	0.676950225	2.232440554	0.02786959	0.117740913	2.179202834	0.036790197	0.141559129	-1.792724324	0.077147282	0.180935352	-0.805986321	0.423059607	0.672176411	1.264876639	0.212727847	0.398063758
PWY-5941: glycogen degradation II (eukaryotic)	1.941524867	0.053682453	0.115134735	0.944016141	0.346770512	0.471029946	-0.618470718	0.538114319	0.602835972	1.851795811	0.067654866	0.165830723	1.12851747	0.263533929	0.405245571	-0.265297278	0.792482087	0.836081425	0.829987852	0.410354527	0.527259328	0.322932753	0.747719715	0.862000368	-0.559760538	0.578547236	0.757783684
PWY-5971: palmitate biosynthesis II (bacteria and plants)	-0.926581987	0.355390818	0.482739194	-1.438358327	0.152416423	0.270687436	-1.108060951	0.27132993	0.364006408	-0.653371192	0.515164088	0.746415523	-2.046294208	0.045953845	0.138712531	-1.443902718	0.158486336	0.280796443	-1.506514466	0.136040774	0.257844724	-0.870425291	0.386964395	0.633580178	0.178541771	0.859136069	0.915288753
PWY-5973: cis-vaccenate biosynthesis	-2.446039839	0.015380396	0.040764301	-0.529696326	0.597099485	0.707834299	3.13794025	0.002421549	0.019136706	-1.851777887	0.068326768	0.166227809	-0.781425118	0.437830438	0.582582542	1.474390498	0.150147494	0.272540255	-1.265226011	0.21118256	0.34770462	-0.029432262	0.976615309	0.991827385	2.806478187	0.007496127	0.16183101
PWY-5989: stearate biosynthesis II (bacteria and plants)	3.596193252	0.000412125	0.001791372	1.124338815	0.26264201	0.392758234	-1.673678111	0.098305148	0.166913949	2.207241336	0.029949724	0.093339541	0.563536112	0.575353594	0.705259649	-1.002959592	0.323404621	0.435660771	2.260199984	0.027580151	0.090819487	0.645616165	0.520713234	0.719290315	-1.329213362	0.190787308	0.36586272
PWY-6113: superpathway of mycolate biosynthesis	-0.480074698	0.631752822	0.72010986	-1.051359991	0.294769356	0.424910593	-1.213524761	0.228687232	0.323140847	-0.234919207	0.814778512	0.905135017	-1.702579945	0.094757722	0.20548798	-1.439168321	0.159813607	0.28087819	-1.21693494	0.227289513	0.368638713	-0.616084977	0.53978841	0.73937404	-0.061993713	0.950855106	0.965665933
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	3.571403738	0.000453625	0.001945813	1.434827749	0.153131732	0.270687436	-3.087369576	0.002818304	0.019415138	3.333162579	0.001187666	0.007169985	1.712896134	0.089937321	0.199452835	-1.685408655	0.101638963	0.223880419	2.167017903	0.033643155	0.108590778	0.529601443	0.598122042	0.763633261	-2.578097885	0.013443515	0.16183101
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	3.224754142	0.001509934	0.00553077	1.473925683	0.142330267	0.258156267	-2.976578589	0.003908045	0.021233713	3.003025073	0.003362838	0.015661219	1.667401825	0.098574954	0.207224986	-1.602093444	0.118961851	0.237923701	1.928907597	0.057960516	0.149961335	0.526769268	0.60005353	0.763633261	-2.501345716	0.016259248	0.16183101
PWY-6123: inosine-5'-phosphate biosynthesis I	4.700668418	5.06E-06	4.01E-05	1.434605407	0.153610969	0.270687436	-3.363208622	0.001209166	0.017138615	4.169968867	7.33E-05	0.000823711	-0.231844372	0.817604508	0.887507554	-3.011608647	0.005042897	0.125575516	3.116542164	0.002723226	0.018888762	2.172799599	0.033295374	0.175069227	-1.894369137	0.064914292	0.223338335
PWY-6124: inosine-5'-phosphate biosynthesis II	4.225941269	3.70E-05	0.000219407	1.233375637	0.219361255	0.344123523	-3.194754413	0.002038263	0.018067273	3.720523475	0.00034639	0.002688644	-0.311903815	0.756318127	0.847284225	-3.190396803	0.003175352	0.125575516	2.850950488	0.00609077	0.030084711	1.965723046	0.053732091	0.22266805	-1.64700639	0.106846689	0.254179343
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	-3.988827555	9.84E-05	0.000517533	-2.611384289	0.009940213	0.04867826	1.892112	0.062284936	0.120147274	-3.662329346	0.000583409	0.003986351	-1.501762559	0.139396558	0.265518635	2.025274086	0.05124823	0.160643489	-1.372174258	0.175469978	0.310887026	-1.143862599	0.257584072	0.565250674	0.99233522	0.326585533	0.514332772
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	-0.739981459	0.460264182	0.562440294	-0.675906748	0.500027148	0.622171184	0.425533012	0.671650749	0.727435695	-1.430084059	0.157133471	0.322332199	-0.228989914	0.819447159	0.887507554	0.826167451	0.414826699	0.528255875	0.36282623	0.718149894	0.785627066	-0.004399727	0.996506787	0.996506787	0.03478998	0.972408211	0.981439866
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	2.374752718	0.018967187	0.047563868	2.642517498	0.009099525	0.047086431	0.271929661	0.786413467	0.816738918	2.745098321	0.007369627	0.030411373	2.702992745	0.008187192	0.074139574	-0.201861487	0.841302822	0.876245112	0.597879992	0.553029915	0.637059195	0.983714017	0.329795981	0.61267128	0.507305631	0.614532482	0.784030942
PWY-6151: S-adenosyl-L-methionine cycle I	4.960830134	1.57E-06	1.51E-05	2.878392468	0.004498607	0.032589912	-3.590350366	0.000582805	0.011157253	4.807140229	5.18E-06	0.000153585	2.01249477	0.046962719	0.139180422	-4.01949504	0.000331554	0.056236629	2.901637257	0.004863779	0.027730752	2.102826088	0.039104289	0.189534355	-1.932891821	0.059852386	0.214416241
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	4.19017336	4.56E-05	0.000256235	0.717202577	0.474476406	0.599532203	-3.707673309	0.000395355	0.009914293	4.047817018	0.000135637	0.001381801	1.611592675	0.111902514	0.226585215	-2.295202045	0.028425001	0.141559129	1.975339803	0.051653395	0.140325058	-0.35572547	0.7230903	0.851529494	-2.918536655	0.005574817	0.16183101
PWY-6168: flavin biosynthesis III (fungi)	-3.542358183	0.00051116	0.002117757	-2.735760312	0.007049357	0.040956545	1.118955995	0.266683081	0.362244518	-2.685161489	0.00884682	0.033535621	-2.382052132	0.020297258	0.110218306	0.536259408	0.595487815	0.683043272	-2.662715943	0.009332319	0.040030736	-1.887580849	0.063225344	0.251359295	0.980919876	0.332119315	0.520533157
PWY-621: sucrose degradation III (sucrose invertase)	7.512108306	2.26E-12	1.84E-10	3.464927389	0.00069562	0.009859663	-3.308574906	0.001434913	0.017991607	3.967127003	0.000161562	0.001463037	2.493938573	0.014736408	0.090642811	-1.324724273	0.194645589	0.31569384	6.860219927	3.56E-09	1.16E-06	3.025080035	0.003456147	0.062594661	-3.149459766	0.002973137	0.16183101
PWY-6263: superpathway of menaquinol-8 biosynthesis II	-0.727479737	0.468274567	0.567500033	3.763051887	0.00024693	0.004093302	2.350516354	0.021342932	0.055906475	-1.351242469	0.184069786	0.366150587	2.099097871	0.038455908	0.130337557	1.850353396	0.073514451	0.185780705	0.829897823	0.410809415	0.527259328	2.418860367	0.021794424	0.148020466	2.065937108	0.04489291	0.178476693
PWY-6270: isoprene biosynthesis I	-2.386741888	0.018051409	0.045974683	-0.397391632	0.691608309	0.774791439	1.977958741	0.051558442	0.102488123	-1.655678273	0.102143983	0.236162685	0.658737219	0.51239098	0.644939998	2.186202697	0.036229017	0.141559129	-2.011520937	0.047791785	0.132034933	-1.258142392	0.212631441	0.518396698	0.72532604	0.472181141	0.655025753
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	3.224754142	0.001509934	0.00553077	1.473925683	0.142330267	0.258156267	-2.976578589	0.003908045	0.021233713	3.003025073	0.003362838	0.015661219	1.667401825	0.098574954	0.207224986	-1.602093444	0.118961851	0.237923701	1.928907597	0.057960516	0.149961335	0.526769268	0.60005353	0.763633261	-2.501345716	0.016259248	0.16183101
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	-1.78892933	0.075547628	0.148364619	-1.908559867	0.058322082	0.137775354	-0.376861827	0.70732649	0.763537867	-1.270238714	0.207307456	0.392919946	-2.178299648	0.034270339	0.121436202	-1.179526727	0.246883734	0.357978234	-2.04047431	0.04508116	0.12779529	-1.461245006	0.148330797	0.425846549	0.847199194	0.401574952	0.594830171
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	-0.295979554	0.767588885	0.828589326	-0.767123568	0.444280255	0.576939354	-1.029805033	0.306367782	0.40272539	0.145810731	0.884386148	0.933041697	-1.337257727	0.187618891	0.32361777	-1.331979319	0.192276594	0.314783128	-1.233952572	0.220914471	0.361900088	-0.523831036	0.602005362	0.763633261	0.079414045	0.937071735	0.957634438
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.414776551	0.678780193	0.760420422	1.500204775	0.135764194	0.250051566	0.677485435	0.500155242	0.578193649	1.551908272	0.124073433	0.271462678	1.979786823	0.051177737	0.146388758	0.705085037	0.485858219	0.597697281	-1.32499227	0.189594469	0.321915608	-0.454143973	0.651142231	0.801027801	0.4179267	0.678080431	0.821762901
PWY-6305: putrescine biosynthesis IV	2.385604777	0.018326135	0.046312559	3.0518748	0.002664038	0.02412434	-1.880047963	0.06393368	0.121618272	2.610727796	0.011115402	0.040714843	1.378156448	0.174595021	0.306579421	-1.095010652	0.281685599	0.391044972	2.114155887	0.03774476	0.114998053	2.904552326	0.005459329	0.071189655	-1.520666081	0.135663659	0.285331309
PWY-6317: galactose degradation I (Leloir pathway)	6.742086243	1.84E-10	6.00E-09	2.631644562	0.00936796	0.047718047	-3.926895959	0.000187804	0.006916103	4.579364357	1.64E-05	0.000263812	1.869443194	0.065154875	0.157336958	-3.016256356	0.004983303	0.125575516	4.842853521	9.41E-06	0.000231523	2.065889054	0.042441742	0.189534355	-2.691001335	0.010105466	0.16183101
PWY-6353: purine nucleotides degradation II (aerobic)	-0.135187842	0.892614869	0.912202029	0.595475777	0.552519038	0.667115579	0.720124764	0.473657146	0.556342776	-0.550571092	0.58361914	0.786197685	2.212472797	0.029697142	0.121015854	2.683964969	0.011424226	0.125575516	0.04574136	0.963644187	0.978654221	-0.421787027	0.674449944	0.823733429	-0.791550861	0.432967446	0.621794658
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	2.424912388	0.016259749	0.042405426	0.119988658	0.904658132	0.947365807	-2.469594135	0.015770239	0.04509735	2.203720788	0.030063349	0.093339541	0.097455004	0.92269111	0.956812977	-1.685986757	0.101526525	0.223880419	2.131664714	0.036931382	0.114888947	0.72860785	0.468660737	0.688213515	-1.818841768	0.075904256	0.233045794
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	3.815994118	0.000186012	0.000905075	1.13647359	0.257321362	0.388364648	-3.19166106	0.002057578	0.018067273	3.54610379	0.000586947	0.003986351	1.248345685	0.215211189	0.356136283	-1.778276809	0.084862207	0.201934887	2.274456524	0.026146673	0.087874385	0.401955752	0.689001444	0.831905448	-2.688576877	0.010168301	0.16183101
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	3.919593862	0.000125898	0.000651472	1.39322279	0.165331163	0.280718538	-3.005378127	0.003592308	0.02116449	3.606023555	0.000477992	0.003540358	1.200639775	0.233127289	0.373686221	-1.858164774	0.072366417	0.185780705	2.359847534	0.021128478	0.07569103	0.731535608	0.467006887	0.688213515	-2.357009087	0.023046091	0.173053545
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	-1.627787711	0.105503149	0.190022246	-0.820017945	0.413498293	0.546092059	0.812512504	0.41903549	0.511631348	-0.946119157	0.348120953	0.591080369	-0.016337505	0.987017063	0.989194086	1.071012874	0.292175369	0.401895233	-1.204496672	0.232156541	0.371372181	-0.885718106	0.378827665	0.632243083	-4.35E-05	0.999965468	0.999965468
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	6.47882439	7.92E-10	1.84E-08	3.048253695	0.002742255	0.024161489	-2.505187952	0.014379095	0.042230496	4.663068779	9.80E-06	0.00021303	1.517535162	0.134600878	0.259644298	-1.828909424	0.076746531	0.190987551	5.204547064	3.23E-06	0.000116894	3.268222056	0.001676777	0.042048396	-1.824902779	0.074967728	0.233045794
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	-1.820614778	0.070562652	0.141125303	-1.181452211	0.239106123	0.36595585	0.32784394	0.743931114	0.789972453	-1.427270008	0.157211103	0.322332199	-1.659939112	0.101724203	0.211223504	-0.375940833	0.709441771	0.765821249	-1.835410296	0.070346828	0.173735348	-0.880991359	0.381372278	0.632243083	1.0492106	0.299942663	0.49384499
PWY-6527: stachyose degradation	4.803180505	3.18E-06	2.80E-05	2.365267431	0.019226202	0.076435876	-1.855162897	0.067450907	0.126373539	3.11532201	0.002533198	0.012704963	1.057495755	0.293572422	0.435020953	-1.669260866	0.104821817	0.229341693	3.31695944	0.001693014	0.013461529	2.068770115	0.042375168	0.189534355	-1.036675324	0.305682048	0.494810267
PWY-6531: mannitol cycle	-2.59630443	0.010483101	0.030243283	-1.786193772	0.076560492	0.16552278	1.374119648	0.173443547	0.26298882	-1.850510889	0.070884696	0.171173415	-1.008084127	0.318743794	0.459780871	1.312916504	0.198549049	0.320430643	-3.076199934	0.002912821	0.019782907	-2.447662911	0.017408882	0.132598211	0.576030054	0.567597733	0.752182361
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	-2.617267365	0.00959144	0.02847045	-2.166029799	0.031810678	0.096404243	0.601870868	0.54905144	0.610889998	-2.898518215	0.00500551	0.022353375	-1.212608529	0.230311909	0.371691496	1.467375181	0.152034584	0.273830245	-0.518081126	0.606681014	0.687567854	-0.865312085	0.390703524	0.633580178	-0.155455482	0.877189723	0.928454058
PWY-6549: L-glutamine biosynthesis III	-0.419792257	0.675171279	0.760420422	0.644473424	0.520296097	0.641200064	0.976273706	0.332026185	0.429525937	-0.382163746	0.703689255	0.846504417	2.10927667	0.038228565	0.130337557	2.409553854	0.021898495	0.132202024	0.008951931	0.992883895	0.992883895	-0.011229679	0.991072519	0.996506787	0.085644684	0.932146421	0.957634438
